ccn,ceo,company_name,description,founded_in,headquarters,nob,ownership,ratings,toc
806681300,,Ey Global Delivery Services ( Ey Gds),"EY Global Delivery Services (GDS) is a dynamic and truly global delivery network of over 74,000 people working across borders to provide innovative and strategic business solutions to EY member firms and EY clients worldwide.",2002,,B2B,,3.7,Corporate
,Ashish Sapra,Tvs Credit,"From the largest cities to the smallest villages, India is filled with ambition and enterprise. As Indians from all walks of life set out to write their growth story, our timely and affordable credit empowers them to bring their dreams alive. 

As part of the $8.5 billion TVS Group, we empower Indians from various socioeconomic backgrounds with financial products that serve their needs. In doing so, we further the cause of financial inclusion. Our two wheeler, used car, three wheeler, and tractor loans are designed for Indians in small towns and the rural heartland, for our nation's growth is powered by their prosperity. Our foray into the used commercial vehicle and consumer durable finance is yet another step in this direction. 

Our entrepreneurial culture, which inspires us to deliver our best, has given rise to such initiatives as TEDDI, a framework to implement innovative ideas, and GURU, a mentorship program to help new employees deliver excellence from Day One. With over 4.4 million customers and a long-term CRISIL rating of AA-, our growth is built on firm foundations.",2008,,Service,Public,4.4,Corporate
,Nilesh Garg,Tata Aig,"Tata AIG General Insurance Company Limited is a joint venture company between Tata Group and American International Group (AIG). Tata AIG General Insurance Company Limited celebrates 18 years of service this year (2019) since it commenced operations in India on January 22, 2001. The Company has grown strongly to emerge as the preferred private general insurance company in India with several pioneering firsts to its credit. Driven by a mission to create better tomorrows for Customers by delivering trustworthy and innovative risk solutions, Tata AIG’s broad portfolio of protection covers are backed by years of professional expertise in product offerings, exceptional service capabilities and seamless claims process management. The Company offers a wide range of general insurance covers for businesses and individuals including a comprehensive range of general insurance products for Liability, Marine Cargo, Personal Accident, Travel, Rural-Agriculture Insurance, Extended Warranty etc. Tata AIG General Insurance Company Limited has an asset base of approximate INR 10,050 crs. (as of 31st March 2019). With more than 200 offices spread across India, the Company has a robust multi-channel distribution network of 22,000+ licensed agents and 390+ licensed brokers. The Company has a workforce of over 5,000 employees, including 550+ claim experts and a dedicated Customer Service & Operations team (as of March 2019), consistently delivering superior service experiences powered by the latest innovations in technology.",2000,"Mumbai, Maharashtra, India",Service,Private,4.1,Corporate
,Anurag Mehrotra,Cms It Services,"As one of India’s top IT services firms, CMS IT services has support infrastructure spread across 30 branches and 220 direct support locations in India. CMS IT provides complete solutions to large corporations across all sectors, including banking, insurance, retail, telecom and manufacturing. CMS IT provides new, cost-effective and cutting-edge IT infrastructure solutions that are reliable, resilient and responsive. CMS IT Managed Services includes high quality, end-to-end IT infrastructure solutions to cost-effectively manage your IT operations efficiently. CMS IT Asset Management Services provides innovative technology support solutions. CMS IT Support Services ensures that the functioning of your systems is optimized with end user support and data center management. CMS IT System Integration Services includes cutting edge solutions to install and integrate hardware and software to manage complex IT implementation projects successfully",2014,,Service,Private,3.1,Startup
,,Wipro Enterprises Ltd,"Wipro Enterprises has Wipro Consumer Care and Lighting and Wipro Infrastructure Engineering under its umbrella. Wipro Consumer Care & Lighting is a leading FMCG business in Personal Care, Home Care, Lighting & Switches and Office Furniture. Wipro Infrastructure Engineering is a diversified engineering business in the fields of Hydraulics, Water Treatment, Additive Manufacturing, Aerospace and Automation Solutions.

Wipro Consumer Care and Lighting is among the fastest growing FMCG businesses in its operating geographies of Asia and the Middle East, with revenues of over Rs.7150 Crs. Its businesses include personal wash products, skincare products, male grooming products, toiletries, wellness products, household products, electrical wire devices, domestic and commercial Lighting and modular office furniture. It has a strong brand presence with significant market share across segments in India, South East Asia and the Middle East. In 2018-19 Wipro Consumer Care & Lighting, grew ahead of industry, to consolidate its position and market shares across geographies.",1945,"Bangalore, India",,,3.9,
,Samir Mehta,Torrent Pharmaceuticals,"Torrent Pharma, the flagship Company of Torrent Group is one of the leading pharma companies of the Country. The Company was a pioneer in initiating the concept of niche marketing in India and today is ranked amongst the leaders in therapeutic segment of Cardiovascular (CV) and Central Nervous System (CNS). It has also achieved significant presence in Gastro-intestinal, Diabetology, Anti-infective, Pain Management, Gynaecology and Paediatric segments. Recently we have also forayed into the therapeutic segment of Oncology and Rheumatology.

Torrent Pharma's competitive advantage stems from the world-class manufacturing facilities, advanced R & D capabilities, extensive domestic network and a widespread global presence in over 40 countries.

The acquisition of Elder Pharma's Indian branded business in 2013, Dermaceutical business of Zyg Pharma in 2015, API plant of Glochem Industries in 2016, women healthcare brands from Novartis and Unichem's Indian branded business along with its Sikkim Plant in 2017 strengthened Torrent Pharma's position in the Indian Pharma market.

Torrent Pharma started international acquisitions in 2005 with 90 year old Heumann from Pfizer to enter the German market. Later on purchased ANDA of Monocycline from Ranbaxy for the US Market in 2015.

In January 2018, Torrent also acquired Bio-Pharm, Inc. (BPI) a generic pharmaceuticals and OTC Company, based in Levittown Pennsylvania, USA, which also included a US FDA registered manufacturing facility.

Torrent Pharma is committed towards “not just healthcare but lifecare.”",1971,,B2C,Public,3.9,Indian Mnc
1416767067,Arun Kogta,Kogta Financial India Limited,"We are a progressive fast-growing retail-focussed, Non Banking Finance Company (NBFC). Incorporated in 1996 by a team of dynamic entrepreneurs - Shri Banwari Lal Kogta, Shri Bal Mukund Kogta and Shri Radha Krishan Kogta, we are currently steered by the next-generation meritocratic leaders including Arun Kogta (MD & CEO), Varun Kogta (ED & CFO) and Nayan Kogta (COO). For over 25 years, we have garnered deep experience in the asset finance business. We offer loans for the purchase of commercial vehicles, four-wheelers, tractor and disburse Loan Against Property (LAP) and Secured Business Loans to the SME/MSME segment.",1996,"Jaipur, Rajasthan, India",B2C,Public,4.8,Corporate
51222212010,,Rspl Group,"Welcome to RSPL Group, a dynamic FMCG conglomerate dedicated to delivering unparalleled value and innovation for over the past three decades. Founded in 1988 by Shri Murlidhar Gyanchandani and Shri Bimal Kumar Gyanchandani in Kanpur, our journey began with a vision to redefine the consumer experience, starting with Ghadi Detergent.",1988,"Kanpur, Uttar Pradesh, India",B2C,Private,4.2,Corporate
,,Square Yards,"Square Yards is a full-stack proptech platform; playing the entire consumer journey from Search & Discovery --> Transactions --> Mortgages --> Home furnishing --> Rentals and Property Management. Square Yards is also building B2B disruptive proprietary platforms for stakeholders such as Developers, Financial Institutions, and Agents. Square Yards helps transact 15,000+ transactions worth US1bn+ every year, with profitable economics. It is also one of the few Indian startups to have transitioned successfully to the global landscape, with more than a quarter of revenues coming from global markets such as the Middle East, Australia, and Canada. With the help of Data Analytics and VR tools, www.squareyards.com is trying to disrupt the traditional ecosystem of marketplaces, with a bet on building the first MLS in India. At the same time, adjacent B2C platforms such as Azuro, Interior Company, and Urban Money are scaling up to become category leaders led by significant strategic benefits of playing the entire value chain.",2013,,B2C,Private,3.7,
,Devendra Jain,Dilip Buildcon,"From humble beginnings in 1987 to a road focused EPC leader in 2017, DBL’s journey is characterized by hard work, respect for relationships, and a drive to excel in anything they take up. They have upheld the tradition of giving their best to all projects since conception. DBL’s value-centric delivery, execution process and commitment to innovation have set the stage for the next phase of growth.",1987,"Bhopal, Madhya Pradesh, India",B2C,Public,4.1,Corporate
,Douglas Peterson,S&P Global,"At S&P Global, we don’t give you intelligence—we give you essential intelligence. The essential intelligence you need to make decisions with conviction. We’re the world’s foremost provider of ratings, benchmarks and analytics in the global capital and commodity markets. Our divisions include S&P Global Ratings, which provides credit ratings, research and insights essential to driving growth and transparency, S&P Global Market Intelligence, which provides insights into companies, markets, and data so that business and financial decisions can be made with conviction, S&P Dow Jones Indices, the world’s largest resource for iconic and innovative indices, which helps investors pinpoint global opportunities and S&P Global Platts, which equips customers to identify and seize opportunities in energy and commodities, stimulating business growth and market transparency.",1860,,Service,Public,4.2,Foreign Mnc
,Mr. Rajnikant Shroff,Upl,"UPL Limited, formerly United Phosphorus Limited, is an Indian multinational company that manufactures and markets agrochemicals, industrial chemicals, chemical intermediates, and specialty chemicals, and also offers crop protection solutions.",1969,"Mumbai, Maharashtra, India",B2B,Public,4.2,Indian Mnc
,Mr. Mahendra Agarwal,Gati-Kwe,"Gati-KWE is an unmatched leader in Express Distribution and Supply Chain Solutions, committed to make their customers’ business always ‘Ahead in reach’ while partnering with them to elegantly customize the delivery offering. Gati-Kintetsu Express Private Limited (Gati-KWE) is a joint venture company between Gati – India’s pioneer and leader in Express Distribution and Supply Chain Solutions and Kintetsu World Express Japan’s leading logistics provider. Following the joint venture Gati-KWE today offers an unmatched service offering that brings in local experience with global expertise. Gati-KWE is a 5500 people strong company with an annual turnover of Rs 15273 million. An intrinsic network that spans the length and breadth of India – Gati-KWE has a reach of more than 99% of districts in India. A large fleet of more than 5000 vehicles and an assured space across 32 airline sectors ensures that your shipments are delivered in the right time at the right place. Gati-KWE today is the most preferred Express Distribution and Supply Chain Solutions provider because of the ability to handle every distribution need. Gati-KWE offers services that are customized to the requirements, be it a Premium service – for time critical shipments or an Express Service for cost effective and direct express route connectivity. Taking a step forward, Gati-KWE’s Supply Chain Solution division offers an integrated Supply Chain services to businesses across industry verticals. Be it flexible point-to-point distribution solutions or complex end-to-end integrated logistics solutions or supply chain management, Gati-KWE does it all with great effectiveness and reliability, and enjoys the trust of a large customer base.",2012,"Hyderabad/Secunderabad, Telangana, India",B2C,Private,4.0,Corporate
1800224020,Ramon Laguarta,Pepsico,,1965,,Product,Public,4.1,Foreign Mnc
,,Tech Mahindra Business Services,"Tech Mahindra Business Services is a subsidiary of Tech Mahindra which is a part of the Mahindra Group.

Tech Mahindra is a USD 4.9 billion company with 131,500+ professionals across 90 countries, helping 946 global customers including Fortune 500 companies. Their Business Process Outsourcing arm is called Tech Mahindra Business Process Services which provides Next Gen Digital Customer Experience & Back Office services across industries, which include Communication, Media & Entertainment, Retail & CPG, Healthcare & Life Science, Banking & Financial Services, Transport, Hospitality & Logistics and Manufacturing & Utilities.",2003,"Mumbai, Maharashtra, India",B2B,Public,3.5,Corporate
2067706000,Kishor Patil,Kpit Technologies,"KPIT Technologies is a global partner to the automotive and Mobility ecosystem for making software-defined vehicles a reality. It is a leading independent software development and integration partner helping mobility leapfrog towards a clean, smart, and safe future. With 13000+ automobelievers across the globe specializing in embedded software, AI, and digital solutions, KPIT accelerates its clients’ implementation of next-generation technologies for the future mobility roadmap. With engineering centers in Europe, the USA, Japan, China, Thailand, and India, KPIT works with leaders in automotive and Mobility and is present where the ecosystem is transforming.",1990,"Pune, Maharashtra, India",Product,Public,3.6,Indian Mnc
,,Lenskart,"Founded in 2010, By an ex-Microsoft 'techie' with no money but truckloads of relentless passion to make a difference in this world, Lenskart is India's fastest-growing eyewear business today.

With a rapidly growing business reaching out to over 1,00,000 customers a month via a unique combination of a strong online business as www.lenskart.com, uniquely designed physical stores, as well as a first-of-its-kind home eye check up' service, Lenskart is revolutionizing the eyewear industry in India.",2010,"Faridabad, Haryana, India",Product,Private,3.3,Corporate
,,Arcelormittal Nippon Steel,"AM/NS India is an integrated flat carbon steel manufacturer - from iron ore to ready-to-market products – with an achievable crude steel capacity of 9 million tonnes per annum (MTPA). Our manufacturing facilities comprise iron making, steelmaking and downstream facilities spread across India.

At AM/NS India our goal is to help create smarter, more sustainable steels for India, and the world. To do this, we place safety, innovation and technology at the heart of our manufacturing operations and product development.

We offer more than 300 grades of steel, all of which conform to international quality standards, underscoring the value AM/NS India’s ascribes to being a trusted and reliable provider of steel to our customers in India and beyond.

AM/NS India is a joint venture between ArcelorMittal and Nippon Steel, two of the world’s leading steel companies.",,,B2B,,4.1,Corporate
,Dharmender Kapoor,Birlasoft,"Birlasoft combines the power of domain, enterprise and digital technologies to reimagine business processes for customers and their ecosystem. Its consultative and design thinking approach makes societies more productive by helping customers run businesses. As part of the multibillion dollar diversified The CK Birla Group, Birlasoft with its 10,000 engineers, is committed to continuing our 158-year heritage of building sustainable communities.",1995,"Pune, Maharashtra, India",Service,Public,3.8,Indian Mnc
,Tsutsumu Otani,Honda Motorcycle & Scooter,"Honda is the world’s largest manufacturer of two wheelers, Recognized over the world as the symbol of Honda Two Wheelers, the ‘Wings’ arrived in India as Honda Motorcycle and Scooter India Pvt. Ltd. (HMSI), a 100% subsidiary of Honda Motor Company Ltd., Japan, in 1999. Since its establishment in 1999 at Manesar, District Gurgaon, Haryana, Honda has lived up to its reputation of offering the highest quality products at the most reasonable price. Despite being one of the youngest players in the Indian two-wheelers market, Honda has become the largest two wheeler manufacturer as well as the second largest two-wheelers company in India.",2001,"Gurgaon/Gurugram, Haryana, India",B2C,Private,4.1,Corporate
,,Wipro Infotech,"Wipro Infotech, a division of the US $6 billion Wipro Limited, provides enterprise customers with high value Information Technology Products, Software Services, Solutions and Consulting Services in India and the Middle East. Headquartered at Bangalore, Wipro Infotech serves customers in India through a network of 22 offices and 170 service locations across the country. It also has regional offices across the Middle East serving the region.",1945,"Bangalore, India",Service,Private,4.0,Mnc
,Dinesh C. Paliwal,Harman,"HARMAN designs and engineers c​onnected products and solutions for automakers, consumers, and enterprises worldwide, including connected car systems, audio and visual products, enterprise automat​ion solutions; and connected services. Our talented workforce and innovation strength create value for our stakeholders by enabli​ng rich experiences through the connected car, connected enterprise and connected lifestyle.
Audi​​ophiles from every generation call on HARMAN to deliver the best in sound in the studio and on the stage, at home and on the go. HARMAN’s portfolio of legendary audio brands includes AKG®, Harman Kardon®, Infinity®, JBL®, Lexicon®, Mark Levinson®and Revel®. More than 50 million vehicles on the road today enjoy an enhanced driving experience, thanks to HARMAN audio and infotainment. We extend the same spirit of innovation to the world’s leading performance and sporting venues, providing everyone with the best seats in the house.
Seizing the rich opportunities of today’s global markets requires more than legendary sound. HARMAN has reshaped our organization and cost structure to make the Company more agile in a changing world and addressed the rising importance of highly integrated, software-rich products and services. Most importantly, our track record of innovation, which has distinguished HARMAN and its premium audio and infotainment brands for more than 60 years, continues.",2009,,Service,Public,3.9,Foreign Mnc
,,Reliance Smsl,"Reliance Smsl Limited is a Non-govt company, incorporated on 08 Feb, 2007. It's a public unlisted company and is classified as 'company limited by shares'.

RELIANCE SMSL LIMITED is located in Mumbai, Maharashtra, India and is part of the Oil & Gas Exploration & Production Industry. RELIANCE SMSL LIMITED has 95719 total employees across all of its locations. There are 538 companies in the RELIANCE SMSL LIMITED corporate family.",2007,"Mumbai, India",,Public,4.0,
,Venu Nair,Shoppers Stop,"Shoppers Stop stores have an unparalleled assortment of leading international and national brands in clothing for men, women, and kids, accessories, fragrances, cosmetics, footwear; home furnishing and decor products. The stores aim to provide shoppers a truly international shopping destination. Shoppers Stop has experienced and professional team that follows practices and systems which are world-class. The associates are passionate about providing the customers the best shopping experience. This vision has helped Shoppers Stop to grow from a single store in 1991 to the largest chain of department stores in India today. At Shoppers Stop the belief is in providing a fantastic shopping experience to the customers and setting benchmarks to gain success",1991,"Mumbai, Maharashtra, India",Product,Public,4.1,Indian Mnc
,Pralhad Mujumdar,Acc,"ACC Limited mixes and pours a solid foundation for India. One of the country's leading manufacturers of cement and ready-mix concrete, ACC supplies its products for use in buildings, bridges, railways, and more. It also makes bulk and blended cement. Operating more than a dozen cement plants and about 30 ready-mix concrete plants, the company produces some 20 million tons of cement each year. ACC's nationwide sales, marketing, and manufacturing operations are supported by a network of more than 9,000 dealers, through which about 80% of its sales are made. Its customers are mainly located in India. The company also provides project management and engineering at cement plants abroad.",1936,"Mumbai, Maharashtra, India",Product,Public,4.0,Indian Mnc
,Björn Rosengren,Abb Group,"ABB is a technology leader in electrification and automation, enabling a more sustainable and resource-efficient future. The company’s solutions connect engineering know-how and software to optimize how things are manufactured, moved, powered, and operated. Building on more than 130 years of excellence, ABB’s 105,000 employees are committed to driving innovations that accelerate industrial transformation.",1988,"Zurich, Switzerland",B2B,Public,4.1,Foreign Mnc
,,Sammaan Capital Limited,"A home is not just a place, it is a feeling. It is the answer to one’s need for security, comfort and happiness. A happy home is most often a definite fixture in what can be described as the must haves in life. One’s home is a treasure trove of cherished memories, a safe place for one’s thoughts, and most importantly, a place to call one’s own. Millions of Indians aspire to enjoy the joyous feeling of belonging that comes with one’s own home. Helping the everyday Indian achieve his/her dreams has been our motto at IBH, since our inception in 2000. As facilitators in one’s housing journey, our constant efforts are directed towards increasing speed, convenience, affordability and the quality of service for home seekers. As a result, we have fostered win-win relationships with over 1 million customers and have cumulatively disbursed home loans of Rs. 1.97 trillion as of the last financial year. We take immense pride in the dreams that we have enabled for our customers, and use this commitment to trust and service towards achieving greater heights each day.",2005,"Gurgaon/Gurugram, Haryana, India",B2C,Public,3.8,Corporate
,,Aarti Industries,"Aarti Industries is a leading Indian manufacturer of Speciality Chemicals and Pharmaceuticals with a global footprint. Chemicals manufactured by Aarti are used in the downstream manufacture of pharmaceuticals, agrochemicals, polymers, additives, surfactants, pigments, dyes, etc.",1975,"Mumbai, Maharashtra, India",B2B,Public,4.2,Corporate
,Subhasish Chakraborty,Dtdc Express,"Established in 1990 and headquartered at Bangalore, DTDC has 7 Zonal offices, 20 strategically located Regional Offices and over 430 operating facilities spread across India. DTDC has now embarked upon its journey of transforming its identity from an Express Document Player to an Integrated Parcels driven business through its strategic partnership with Geopost's DPD group - Europe's second largest Parcels Delivery player. The brand name is now being re-christened to DTDC Express Limited as the company focuses to enhance their expertise in the logistics sector under their Vision 2020 program.The strategy behind the repositioning of the brand is to project DTDC as a complete express logistics player that delivers significant value in the markets that it operates in across the globe. DTDC Express Limited has its presence in more than 500 district headquarters through its large network of more than 10500 franchisees and extends services to over 10,500 Pin codes while handling more than 12 million shipments every month. DTDC Express Limited also has a significant global footprint and services 240 international locations including USA, UK, Canada, UAE, Hong Kong, Australia, China and all Asian countries, through its own operations, joint ventures and business associates. A key part of the success of DTDC’s network is the contribution of its people. It comprises of a family of 35,000 people including employees, franchisees and their associates who are committed to its spirit of service.",1990,"Bangalore/Bengaluru, Karnataka, India",B2C,Private,3.8,Corporate
,Pv Kannan,24/7 Customer,"[24]7.ai is redefining the way companies interact with consumers. Using artificial intelligence and machine learning to understand consumer intent, the company’s technology helps companies create a personalized, predictive, and effortless customer experience across all channels. The world’s largest and most recognizable brands are using intent-driven engagement from [24]7.ai to assist several hundred million visitors annually, through more than 1.5 billion conversations, most of which are automated. The result is an order of magnitude improvement in digital adoption, customer satisfaction, and revenue growth.",2000,,Service,Private,3.6,Foreign Mnc
,Brian Moynihan,Bank Of America,"At Bank of America, we have a clear purpose to help make financial lives better through the power of every connection. We fulfill this purpose through our commitment to responsible growth, which includes a focus on environmental, social and governance (ESG) leadership. Integrated across our eight lines of business — our ESG focus reflects our values, ensures we are holding ourselves accountable, presents tremendous business opportunity, and allows us to create shared success with our clients and communities. Every day, we provide unmatched convenience in the United States, serving approximately 66 million consumer and small business clients. Bank of America is a global leader in wealth management, corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions and individuals around the world. The company serves clients through operations across the United States, its territories and more than 35 countries.",1998,,Service,Private,4.4,Foreign Mnc
,,Jindal Steel And Power,"JSP is an industrial powerhouse with a dominant presence in the steel, power, mining, and infrastructure sectors. Led by Mr. Naveen Jindal, the company’s enviable success story has been scripted essentially by its resolve to innovate, set new standards, enhance capabilities, enrich lives, and ensure that it stays true to its cherished value system.",1979,"Delhi/Ncr, New Delhi, India",Product,Private,4.0,Corporate
,Alessandro Riva,Glenmark Pharmaceuticals,"Glenmark is a leading global innovative pharmaceutical company committed to enriching lives worldwide. Our vision is to discover possibilities and make lives of patients better across the globe by developing cures for unmet medical needs. We have a rich pipeline of innovative molecules in various phases of development which are targeted in areas of oncology, respiratory and dermatology.",1977,"Mumbai, Maharashtra, India",B2C,Public,4.0,Indian Mnc
,Jes Staley,Barclays,"Barclays moves, lends, invests and protects money for customers and clients worldwide.
The Board’s principal duty is to create and deliver sustainable shareholder value through setting Barclays' strategy and overseeing its implementation.

Certain responsibilities are delegated to Board Committees, which assist the Board in carrying out its functions and ensure that there is independent oversight of internal control and risk management.",1690,,Service,Private,4.0,Mnc
,,Marpu Foundation,,2016,,,,4.9,
,,Ipca Laboratories,"For more than 60 years, Ipca has been partnering healthcare globally in over 110 countries and in markets as diverse as Africa, Asia, Australia, Europe and the US. Ipca is a fully-integrated Indian pharmaceutical company manufacturing over 350 formulations and 80 APIs for various therapeutic segments. We are one of the world's largest manufacturers and suppliers of over a dozen APIs. These are produced right from the basic stage at manufacturing facilities inspected by the world's most discerning drug regulatory authorities like US-FDA, UK-MHRA, EDQM-Europe, WHO-Geneva and many more. Ipca is a therapy leader in India for anti-malarials with a market-share of over 34% with a fast expanding presence in the international market as well. We also lead in DMARDs (Disease Modifying Anti-Rheumatic Drugs) treatment for rheumatoid arthritis. We have leading brands in 5 therapeutic areas, with 4 of our branded formulations being ranked among the Top-300 Indian brands by ORG-IMS.",1949,"Mumbai, Maharashtra, India",Product,Public,4.0,Indian Mnc
,Gunender Kapur,Vishal Mega Mart,"Vishal Mega Mart, one of the pioneers of retailing in India, is represented through its 590+ brick and mortar stores across the length and breadth of the country. We strive to make the aspirations of our customers affordable. Having said that we do everything that can take us nearer to our goal. Our proposition -best price, best assortment and best quality makes us unique among the millions of our customers who give us a chance to service them daily. While our stores house groceries, FMCG, fashion, household, electronics among other categories, we are currently online with fashion apparel only catering to men, women & kids Fashion. Our assortments online include Jeans, t-shirts, tops, casual shirts, formal shirts, trousers, ethnic wear, active wear and many more. At myvishal.com, we encourage you to indulge yourself more on online shopping with your choices of fashion assortment for all ages. What set us apart and unique is the right pricing with no compromise in quality in its products and services. With the most friendly return policy, you can visit any of our stores across India and return your order if you are not satisfied with them. Vishal is sharply focused at the needs of consumers in Apparel, General Merchandise, Grocery and Personal Care in Tier-1, Tier-2 and Tier-3 cities and towns and is dedicated to offer the best value and choice to its millions of customers.",2008,"Gurgaon/Gurugram, Haryana, India",B2C,Private,3.9,Corporate
,,Indian Air Force,The Indian Air Force is the air arm of the Indian Armed Forces. Its complement of personnel and aircraft assets ranks fourth amongst the air forces of the world. Its primary mission is to secure Indian airspace and to conduct aerial warfare during armed conflict.,1932,"New Delhi, Delhi, India",B2C,Private,4.7,
,Murali M. Natrajan,Dcb Bank,"DCB Bank is a modern emerging new generation private sector bank with 333 branches across 19 states and 3 union territories. It is a scheduled commercial bank regulated by the Reserve Bank of India. It is professionally managed and governed. DCB Bank has contemporary technology and infrastructure including state of the art internet banking for personal as well as business banking customers.DCB Bank’s business segments are Retail, micro-SME, SME, mid-Corporate, Agriculture, Commodities, Government, Public Sector, Indian Banks, Co-operative Banks and Non Banking Finance Companies (NBFC). DCB Bank has approximately 600,000 customers.DCB Bank’s network of 331 plus state-of-the-art, customer friendly branches are across the states of Andhra Pradesh, Bihar, Chhattisgarh, Delhi/ NCR, Goa, Gujarat, Haryana, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Odisha, Punjab, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, Uttarakhand, West Bengal and Union Territories of Chandigarh, Daman & Diu and Dadra & Nagar Haveli.DCB Bank has deep roots in India since its inception in 1930s. Its promoter and promoter group the Aga Khan Fund for Economic Development (AKFED) & Platinum Jubilee Investments Ltd. holds below 15% stake. AKFED is an international development enterprise. It is dedicated to promoting entrepreneurship and building economically sound companies",1930,"Mumbai, Maharashtra, India",B2C,Private,3.8,Corporate
,Peter 'T Jong,Atos,"Atos’ history spans a century, from Fredrik Rosing Bull first creating the tabulating machine to Europe’s number one digital services provider.

Every day our 110,000 people in 73 countries are developing and implementing innovative digital solutions that support the business transformation of clients and address the environmental and social challenges we all face.

Atos is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Atos Syntel, and Unify. Atos is a SE (Societas Europaea), listed on the CAC40 Paris stock index.",1997,,Service,Private,3.8,Foreign Mnc
,Nigel Vaz,Publicis Sapient,"Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value through a start-up mindset and modern methods, fusing strategy, consulting and customer experience with agile engineering and problem-solving creativity. As digital pioneers with 20,000 people and 56 offices around the globe, our experience spanning technology, data sciences, consulting and customer obsession – combined with our culture of curiosity and relentlessness – enables us to accelerate our clients’ businesses through designing the products and services their customers truly value. Publicis Sapient is the digital business transformation hub of Publicis Groupe.",1990,,Service,Private,3.6,Foreign Mnc
,Govind Singh,Utkarsh Small Finance Bank,"Utkarsh Small Finance Bank is a proud solitary Small Finance Bank from Varanasi. Established in 2009 with the mission to empower the low-income group financially, it has reached to new heights today. The objective of our bank is 'Ummeed'​ - giving hope to customers for fulfilling their dreams and needs. Over the years, we have extended our services to 112 Districts of 11 States. Today we boast a Customer Base of more than 15 Lakh satisfied customers with 400 Banking Outlets. In today's time where technology is reshaping the world, we aim to encourage people excluded from the formal banking sector until now to start banking with our affordable and accessible banking services. Our focus is to provide services that are process centric, technology enabled and people oriented resulting in reliable, scalable and sustainable institution facilitating socioeconomic change. We also have an initiative called Utkarsh Welfare Foundation which works in the areas of Financial Literacy and Inclusion apart from Health Initiatives.",2009,,Service,Public,3.9,Corporate
,,Hindalco Industries,"Hindalco Industries Limited is the metals flagship company of the Aditya Birla Group. A US$18 billion metals powerhouse, Hindalco is an industry leader in aluminium and copper. Hindalco’s acquisition of Aleris Corporation in April 2020, through its subsidiary Novelis Inc., has cemented the company's position as the world’s largest flat-rolled products player and recycler of aluminium. Hindalco’s state-of-art copper facility comprises a world-class copper smelter and a fertiliser plant along with a captive jetty. The copper smelter is among Asia's largest custom smelters at a single location. In India, the company’s aluminium units across the country encompass the gamut of operations from bauxite mining, alumina refining, coal mining, captive power plants and aluminium smelting to downstream rolling, extrusions and foils. Today, Hindalco ranks among the global aluminium majors as an integrated producer and a footprint in 9 countries outside India. The Birla Copper unit produces copper cathodes and continuous cast copper rods, along with other by-products, including gold, silver, and DAP fertilisers. It is India’s largest private producer of gold. Hindalco has been accorded Star Trading House status in India. Its aluminium is accepted for delivery under the High-Grade Aluminium Contract on the London Metal Exchange (LME), while its copper quality is also registered on the LME with Grade A accreditation.",1958,"Mumbai, Maharashtra, India",B2B,Public,4.2,Corporate
,Abhijit Roy,Berger Paints,"The driving forces of Berger Paints - reflect the very spirit of its founder Lewis Berger - who laid the foundations of brand Berger way back in 1760 in the UK. With modest beginnings in India in 1923, today, Berger Paints India Limited is the second largest paint company in the country with a consistent track record of being one of the fastest growing paint companies, quarter on quarter, for the past few years.

Undergoing a number of changes in ownership and nomenclature in its 88 year old history in India, the company has come a long way.

Starting out as Hadfield's (India) Limited, it had just one factory in Howrah, West Bengal. By the close of 1947, Hadfield's was acquired by British Paints (Holdings) Limited, UK and came to be known as British Paints (India) Limited. In 1983, the name of the Company was changed to Berger Paints India Limited. Currently, the majority stake is with the Delhi based Dhingra brothers. Berger Paints has established itself through a long course of time.",1923,"Kolkata, West Bengal, India",B2C,Public,3.8,Indian Mnc
,,Unitedhealth,UnitedHealth Group Information ServicesPvt Ltd.Unitedhealth Group Information ServicesPrivate Limited was founded in 2002. The company's line of business includes providing computer programmingservices.,1977,,Service,Private,4.1,Foreign Mnc
47623456,Aakash Chaudhry,Aakash Educational Services,"We help to prepare students for medical and engineering entrance exams such as National Eligibility Cum Entrance Test (NEET), Joint Entrance Examination (JEE - Main & Advanced), and school/ board examinations including scholarship exams such as NTSE, KVPY, and Olympiads. Aakash Advantage · 33 years of providing comprehensive and result-oriented test preparation · 275+ centres across India to help you prepare in your city · 3000+ expert faculty to tach, mentor and guide you · 85000+ Rankers in NEET & JEE BYJU’S Edge · World’s largest education technology company with over 10 crore students · Conceptual clarity through high quality videos · Cutting-edge technology to help you practice and prepare better Putting students first and continuously striving to meet their needs is core to Aakash BYJU’S. We are on a mission to build an omni-channel learning offering that will catapult the test-prep experience to the next level and help build India’s largest education company.",1988,"New Delhi, Delhi, India",Product,Private,3.6,Corporate
